,Guests,Bedrooms,Beds,Baths,Price (Night),Price (Total)
count,1.0,1.0,1.0,1.0,1.0,1.0
mean,12.0,5.0,6.0,3.5,1363.0,10088.0
min,12.0,5.0,6.0,3.5,1363.0,10088.0
max,12.0,5.0,6.0,3.5,1363.0,10088.0
